Jz	Energy
-1.25	-0.281267
-1.125	-0.259922
-1	-0.25
-0.875	-0.254307
-0.75	-0.260792
-0.625	-0.268728
-0.5	-0.277845
-0.375	-0.287989
-0.25	-0.299061
-0.125	-0.310993
0	-0.323734
0.125	-0.337248
0.25	-0.351505
0.375	-0.366486
0.5	-0.382177
0.625	-0.398569
0.75	-0.415656
0.875	-0.433439
1	-0.451919
1.125	-0.471101
1.25	-0.490991
1.375	-0.511594
1.5	-0.532914
1.625	-0.554948
1.75	-0.577685
1.875	-0.601104
2	-0.625177
2.125	-0.649862
2.25	-0.675115
2.375	-0.700886
2.5	-0.727127
2.625	-0.75379
2.75	-0.78083
2.875	-0.808207
3	-0.835886
