Jz	Energy
0       -0.320963
0.125	-0.334249
0.25	-0.348287
0.375	-0.363055
0.5	-0.378537
0.625	-0.394724
0.75	-0.41161
0.875	-0.429195
1	-0.447485
1.125	-0.46649
1.25	-0.486224
1.375	-0.506706
1.5	-0.527955
1.625	-0.549986
1.75	-0.572799
1.875	-0.596372
2	-0.620661
2.125	-0.645603
2.25	-0.67113
2.375	-0.697174
2.5	-0.723673
2.625	-0.750573
2.75	-0.777828
2.875	-0.805397
3	-0.833245
