Jz Energy
-0.875 -0.253627
-0.75 -0.259616
-0.625 -0.267123
-0.5 -0.275855
-0.375 -0.285647
-0.25 -0.296392
-0.125 -0.308015
0 -0.320462
0.125 -0.333693
0.25 -0.347677
0.375 -0.362391
0.5 -0.37782
0.625 -0.393954
0.75 -0.410788
0.875 -0.428325
1 -0.446573
1.125 -0.465546
1.25 -0.485268
1.375 -0.505768
1.5 -0.527075
1.625 -0.549203
1.75 -0.572139
1.875 -0.595842
2 -0.620247
2.125 -0.645283
2.25 -0.67088
2.375 -0.696974
2.5 -0.723509
2.625 -0.750434
2.75 -0.777706
2.875 -0.805287
3 -0.833145
